speaker_id,place,sex,age_group,dialect_region,fg_dialect_region,latitude,longitude
landvik_04gk,Grimstad,F,B,east,Sørlandsk,58.2839967,8.7128291
kirkenaer_01um,Grue,M,A,east,Østlandsk,60.4136053,12.2213265
hammerfest_02uk,Hammerfest,F,A,north,Troms-Finnmarks-mål,70.6413392,23.8360801
hattfjelldal_03gm,Hattfjelldal,M,B,north,Helgelandsk,65.4999558,14.170607
hjartdal_04gk,Hjartdal,F,B,east,Midlandsk,59.6930294,8.690956
hjelmeland_01um,Hjelmeland,M,A,west,Sørvestlandsk,59.203514,6.4062042
hof_02uk,Hof,F,A,east,Østlandsk,59.530321,10.0883162
hyllestad_03gm,Hyllestad,M,B,west,Nordvestlandsk,61.1683881,5.2496216
inderoey_04gk,Inderøy,F,B,mid,Østtrøndsk,63.8499165,11.0926448
skaugdalen_36,Indre Fosen,M,A,mid,Østtrøndsk,63.6581939,10.2481551
jevnaker_02uk,Jevnaker,F,A,east,Østlandsk,60.8290235,11.2706474
joelster_03gm,Jølster,M,B,west,Nordvestlandsk,61.5714843,6.4791646
karmoey_01um,Karmøy,M,A,west,Sørvestlandsk,59.2302888,5.1536117
kautokeino_02uk,Kautokeino,F,A,north,Troms-Finnmarks-mål,69.1325609,23.5782998
kristiansand_03gm,Kristiansand,M,B,west,Sørlandsk,58.0856276,7.931858
kvinnherad_01um,Kvinnherad,M,A,west,Sørvestlandsk,59.9531724,6.0325141
kvaefjord_02uk,Kvæfjord,F,A,north,Troms-Finnmarks-mål,68.6875552,16.0922263
kvaenangen_03gm,Kvænangen,M,B,north,Troms-Finnmarks-mål,69.8594962,22.0571038
kaafjord_04gk,Kåfjord,F,B,north,Troms-Finnmarks-mål,69.4973215,20.7271716
lardal_01um,Lardal,M,A,east,Østlandsk,59.4017115,9.9634678
brunlanes_02uk,Larvik,F,A,east,Østlandsk,59.0967308,10.02193
lavangen_03gm,Lavangen,M,B,north,Troms-Finnmarks-mål,68.7169832,17.8162748
kjoellefjord_04gk,Lebesby,F,B,north,Troms-Finnmarks-mål,70.6657291,26.8128235
sylling_01um,Lier,M,A,east,Østlandsk,59.8453135,10.2115525
lierne_02uk,Lierne,F,A,mid,Østtrøndsk,64.4116728,13.6038091
lindaas_03gm,Lindås,M,B,west,Sørvestlandsk,60.7363494,5.1614412
lom_04gk,Lom,F,B,east,Midlandsk,61.7142578,8.4258977
luster_01um,Luster,M,A,west,Sørvestlandsk,61.5189484,7.5692149
lyngdal_02uk,Lyngdal,F,A,west,Sørvestlandsk,58.1516995,7.0523045
gauldal_03gm,Melhus,M,B,mid,Østtrøndsk,63.1814332,10.3081345
meraaker_04gk,Meråker,F,B,mid,Østtrøndsk,63.3969215,11.8124874
mo_i_rana_01um,Mo i Rana,M,A,north,Helgelandsk,66.3110969,14.1386991
kirkesdalen_02uk,Målselv,F,A,north,Troms-Finnmarks-mål,68.969193,19.3970839
namdalen_03gm,Namsos,M,B,mid,Namdalsk,64.4666372,11.3345047
narvik_04gk,Narvik,F,B,north,Nordlandsk,69.0639754,18.5096004
nes_01um,Nes,M,A,east,Østlandsk,60.1705037,11.4551179
nes_04gk,Nes,F,B,east,Østlandsk,60.1705037,11.4551179
nissedal_02uk,Nissedal,F,A,east,Sørlandsk,59.0497365,8.5280135
oppdal_31,Oppdal,M,B,mid,Østtrøndsk,62.5351785,9.6233763
oppdal_04gk,Oppdal,F,B,mid,Østtrøndsk,62.5351785,9.6233763
oppdal_24,Oppdal,F,A,mid,Østtrøndsk,62.5351785,9.6233763
dalsbygda_04gk,Os,F,B,east,Østlandsk,62.4151857,11.4096629
lakselv_01um,Porsanger,M,A,north,Troms-Finnmarks-mål,70.2331268,25.1993945
rauma_02uk,Rauma,F,A,west,Nordvestlandsk,62.4454746,7.6883586
brekkom_03gm,Ringebu,M,B,east,Midlandsk,61.5572191,10.3649275
rollag_04gk,Rollag,F,B,east,Midlandsk,60.0156726,9.2080743
roemskog_01um,Rømskog,M,A,east,Østlandsk,59.7492558,11.8128562
roeros_02uk,Røros,F,A,mid,Østtrøndsk,62.5695151,11.6604412
selbu_03gm,Selbu,M,B,mid,Østtrøndsk,63.1754254,11.1596265
mefjordvaer_19,Senja,F,B,north,Troms-Finnmarks-mål,69.3865567,17.5147192
stonglandseidet_50,Senja,F,B,north,Troms-Finnmarks-mål,69.3865567,17.5147192
sirdal_01um,Sirdal,M,A,west,Sørvestlandsk,58.8454,6.8221129
sokndal_02uk,Sokndal,F,A,west,Sørvestlandsk,58.2461254,6.1595656
stange_07gm,Stange,M,B,east,Østlandsk,60.6244351,11.3831208
stavanger_04gk,Stavanger,F,B,west,Sørvestlandsk,58.9699675,5.7318101
steigen_01um,Steigen,M,A,north,Nordlandsk,67.8535836,14.8017083
stranda_02uk,Stranda,F,A,west,Nordvestlandsk,64.4725477,11.4464028
stryn_03gm,Stryn,M,B,west,Nordvestlandsk,61.8218058,6.8029685
suldal_04gk,Suldal,F,B,west,Sørvestlandsk,59.5432754,6.5569344
surnadal_29,Surnadal,F,A,mid,Uttrøndersk,63.0020446,8.9958386
soemna_02uk,Sømna,F,A,north,Helgelandsk,65.3597065,12.2236796
kirkenes_03gm,Sør-Varanger,M,B,north,Troms-Finnmarks-mål,69.5375661,29.7261372
tana_04gk,Tana,F,B,north,Troms-Finnmarks-mål,70.2823342,27.8913272
time_01um,Time,M,A,west,Sørvestlandsk,58.7074226,5.7512222
tinn_05um,Tinn,M,A,east,Midlandsk,59.9752133,8.5860193
tromsoe_03gm,Tromsø,M,B,north,Troms-Finnmarks-mål,69.6516345,18.9558585
trondheim_04gk,Trondheim,F,B,mid,Østtrøndsk,63.4304475,10.3952118
trysil_01um,Trysil,M,A,east,Østlandsk,61.3561476,12.3670225
heroeyMR_02uk,Ulstein,F,A,west,Nordvestlandsk,62.3637808,5.828636
valle_03gm,Valle,M,B,east,Sørlandsk,59.1690716,7.4247694
vang_04gk,Vang,F,B,east,Midlandsk,61.1922086,8.4695189
vardoe_01um,Vardø,M,A,north,Troms-Finnmarks-mål,70.3308158,30.9618205
vegaarshei_02uk,Vegårshei,F,A,east,Sørlandsk,58.755369,8.82343
vennesla_03gm,Vennesla,M,B,west,Sørlandsk,58.3398618,7.7707903
stamsund_01um,Vestvågøy,M,A,north,Nordlandsk,68.1607217,13.784107
vinje_04gk,Vinje,F,B,east,Midlandsk,59.8071383,7.7137703
volda_03gm,Volda,M,B,west,Nordvestlandsk,62.0803797,6.2744108
voss_04gk,Voss,F,B,west,Sørvestlandsk,60.6837067,6.4079051
stokkoeya_33,Åfjord,M,A,mid,Uttrøndersk,64.0835634,10.2199077
aal_02uk,Ål,F,A,east,Midlandsk,60.6972655,8.5037405
rena_03gm,Åmot,M,B,east,Østlandsk,61.261178,11.6052056
aaseral_04gk,Åseral,F,B,west,Sørvestlandsk,58.6845227,7.3948677
myre_01um,Øksnes,M,A,north,Nordlandsk,69.5244952,20.7497993
skreia_02uk,Østre Toten,F,A,east,Østlandsk,60.6228265,10.90942
darbu_03gm,Øvre Eiker,M,B,east,Østlandsk,59.7441709,9.8412147
